model,step,lambda,clip_score,CLIP_img,FID
stable,99,0.99,21.16,,
ours,99,0.99,20.96,,
stable,99,0.99,21.16,,
ours,99,0.99,20.92,,
stable,99,0.99,21.16,,
ours,99,0.99,20.98,,
stable,99,0.99,21.16,,
ours,99,0.99,20.98,,
stable,49,0.99,21.12,,
ours,49,0.99,21.26,,
stable,49,0.99,21.12,,
ours,49,0.99,21.16,,
stable,1499,0.99,19.84,,
ours,1499,0.99,19.744,,
stable,99,0.99,21.1,,
ours,99,0.99,21.16,,
stable,99,0.99,21.1,,
ours,99,0.99,21.14,,
stable,99,0.99,19.88,,
ours,99,0.99,19.88,,
stable,99,0.99,19.88,,
ours,99,0.99,19.83,,
stable,99,0.99,19.88,,
ours,99,0.99,19.83,,
stable,99,0.95,19.88,,
ours,99,0.95,19.83,,
stable,99,0.95,19.88,,
ours,99,0.95,17.11,,
stable,99,0.95,19.88,,
ours,99,0.95,18.77,,
stable,99,0.95,19.88,,
ours,99,0.95,18.5,,
stable,99,0.95,19.88,,
ours,99,0.95,19.83,,
stable,99,0.95,19.88,,
ours,99,0.95,19.83,,
stable,499,0,19.792,62.45,45.96178
ours,499,0,17.216,62.16,47.9165
ours,499,0.1,17.68,62.11,47.51806
ours,499,0.2,18.08,62.45,47.072428
ours,499,0.3,18.464,62.3,46.4373
ours,499,0.4,18.88,62.45,46.4019
ours,499,0.5,19.04,62.5,46.430064
ours,499,0.6,19.248,62.35,46.13466
ours,499,0.7,19.536,62.7,45.7085
ours,499,0.8,19.568,62.4,45.7278
ours,499,0.9,19.744,62.35,46.1365
ours,499,0.95,19.728,0,46.00039
ours,499,1,19.808,62.55,45.99814
ours,500,-1,19.808,62.3,
ours,500,-0.75,19.808,62.26,
ours,500,-0.5,19.84,62.35,
ours,500,-0.25,19.856,62.3,
ours,500,0,19.824,62.3,
ours,500,0.25,19.824,62.3,
ours,500,0.5,19.856,62.3,
ours,500,0.75,19.904,62.4,
ours,500,1,19.856,62.4,
ours,500,-0.25,18.512,,
ours,500,-0.25,18.64,,
ours,500,-0.25,19.76,,
